epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1800.45,0.00737,0.53236,0.79619,0.76043,0.69705,0.74845,0.5108,0.00844,0.51686,0.92999,0.00059041,0.00059041,0.00059041
84,1821.71,0.00739,0.55307,0.79858,0.705,0.70099,0.74288,0.48729,0.00854,0.53012,0.93,0.000585415,0.000585415,0.000585415
85,1842.95,0.00744,0.56515,0.81695,0.67087,0.73888,0.73989,0.50755,0.00802,0.4999,0.90357,0.00058042,0.00058042,0.00058042
86,1864.25,0.0076,0.52422,0.80015,0.75303,0.70204,0.75005,0.51338,0.00831,0.51152,0.9069,0.000575425,0.000575425,0.000575425
87,1885.43,0.00703,0.50143,0.79156,0.73584,0.71839,0.74354,0.51432,0.00844,0.55345,0.923,0.00057043,0.00057043,0.00057043
88,1906.87,0.00731,0.54702,0.80797,0.71948,0.73678,0.7539,0.52201,0.00809,0.49779,0.91087,0.000565435,0.000565435,0.000565435
89,1928.18,0.00729,0.48424,0.7941,0.72448,0.72636,0.75795,0.53531,0.00821,0.48567,0.92639,0.00056044,0.00056044,0.00056044
90,1950.45,0.00725,0.5571,0.80852,0.71882,0.7104,0.75124,0.521,0.00839,0.50022,0.91784,0.000555445,0.000555445,0.000555445
91,1971.7,0.00736,0.52456,0.78839,0.76068,0.68575,0.75301,0.5049,0.0086,0.50915,0.93645,0.00055045,0.00055045,0.00055045
92,1992.91,0.00708,0.50361,0.76621,0.78345,0.68279,0.75423,0.51431,0.00798,0.46466,0.90536,0.000545455,0.000545455,0.000545455
93,2014.08,0.00713,0.47562,0.78024,0.77373,0.69172,0.75455,0.50359,0.0087,0.47741,0.94594,0.00054046,0.00054046,0.00054046
94,2035.06,0.0072,0.52854,0.79631,0.75338,0.65248,0.71027,0.5053,0.0082,0.52786,0.92141,0.000535465,0.000535465,0.000535465
95,2055.87,0.00712,0.49996,0.78806,0.73847,0.71236,0.75554,0.50534,0.00824,0.49605,0.92998,0.00053047,0.00053047,0.00053047
96,2077.2,0.0072,0.48937,0.77954,0.7928,0.6964,0.76144,0.52373,0.00854,0.45426,0.96031,0.000525475,0.000525475,0.000525475
97,2098.48,0.00711,0.48026,0.7938,0.75111,0.69924,0.75212,0.51864,0.00801,0.49026,0.90063,0.00052048,0.00052048,0.00052048
98,2119.73,0.00755,0.52403,0.8067,0.73869,0.73275,0.75402,0.52514,0.00791,0.4913,0.88851,0.000515485,0.000515485,0.000515485
99,2140.97,0.00704,0.49031,0.78705,0.6959,0.73358,0.73896,0.49595,0.00834,0.50538,0.89909,0.00051049,0.00051049,0.00051049
100,2162.26,0.00673,0.49662,0.77057,0.72011,0.71367,0.74479,0.5298,0.00814,0.48685,0.90791,0.000505495,0.000505495,0.000505495
101,2183.55,0.00671,0.49034,0.7709,0.76343,0.68472,0.74746,0.50875,0.00809,0.48341,0.91325,0.0005005,0.0005005,0.0005005
102,2204.74,0.00701,0.5459,0.78438,0.72928,0.72134,0.75431,0.52483,0.00777,0.48203,0.88599,0.000495505,0.000495505,0.000495505
103,2225.9,0.00694,0.52042,0.77631,0.76558,0.71227,0.7558,0.53898,0.00815,0.4948,0.9177,0.00049051,0.00049051,0.00049051
104,2248.21,0.00655,0.49737,0.76458,0.7951,0.68228,0.75194,0.52603,0.00791,0.48114,0.91205,0.000485515,0.000485515,0.000485515
105,2269.38,0.00686,0.45665,0.76187,0.81244,0.67041,0.75629,0.52099,0.00831,0.45187,0.92259,0.00048052,0.00048052,0.00048052
106,2290.49,0.00682,0.4832,0.74259,0.74822,0.71842,0.75427,0.50867,0.00841,0.49446,0.92335,0.000475525,0.000475525,0.000475525
107,2311.81,0.00686,0.48285,0.77335,0.79433,0.70438,0.76082,0.53666,0.00808,0.44921,0.89923,0.00047053,0.00047053,0.00047053
108,2333.08,0.0069,0.4846,0.76585,0.78339,0.69449,0.75319,0.5298,0.00812,0.45027,0.91171,0.000465535,0.000465535,0.000465535
109,2354.11,0.00699,0.46833,0.75667,0.76238,0.73175,0.76134,0.53098,0.00832,0.46023,0.94189,0.00046054,0.00046054,0.00046054
110,2375.43,0.00679,0.46792,0.76776,0.81531,0.69987,0.7569,0.51526,0.00775,0.45841,0.87985,0.000455545,0.000455545,0.000455545
111,2396.62,0.00682,0.45153,0.77409,0.78435,0.71563,0.76102,0.53485,0.00804,0.43264,0.88149,0.00045055,0.00045055,0.00045055
